Rank,KOL,Point
80,DeFiDownsin,0.0027981194056602337
81,DIAdata_org,0.0027981194056602337
82,web3Balod,0.0027981194056602337
83,Chain_GPT,0.0027981194056602337
84,Chiliz,0.0027842357344893326
85,TomCrownCrypto,0.0027842357344893326
86,W3Vibes,0.0027842357344893326
87,AirdropAchiever,0.0027842357344893326
88,SolanartNFT,0.0027842357344893326
89,SolanaUnivers,0.0027842357344893326
90,BitcoinDogsClub,0.0027703520633184163
91,AirdropKart,0.0027703520633184163
92,btcabi,0.0027564683921474224
93,beincrypto,0.0027564683921474224
94,CoinGapeMedia,0.0027564683921474224
95,defiprincess_,0.0027564683921474224
96,INFLUENCERandre,0.0027564683921474224
97,solnftradar,0.0027564683921474224
98,aba_summit,0.002742584720976087
99,CryptoBusy,0.002742584720976087
100,DeFi,0.002742584720976087
101,ColsonCrypto,0.002728701049805311
102,NFTs2Me,0.002728701049805311
103,ranpromoter,0.002728701049805311
104,Jumptradenft,0.002728701049805311
105,Bitcoin_Buddah,0.002714817378634351
106,hellopixelapp,0.002714817378634351
107,MichaelM_NFT,0.002714817378634351
108,MathVerseNFT,0.002714817378634351
109,Solana_Emperor,0.002714817378634351
110,NFTGalIery,0.0027009337074630534
111,TheMCACrypto,0.0027009337074630534
112,BitcoinCats1Cat,0.00267316636512115
113,HuntersofWeb3,0.00267316636512115
114,FerreNFT,0.00267316636512115
115,bitcoingold,0.0026592826939502386
116,okto_web3,0.0026592826939502386
117,uquidcard,0.0026592826939502386
118,Bybit_Web3,0.0026592826939502386
119,WUFFI_Inu,0.0026592826939502386
120,cryptoterry,0.0026453990227792877
121,Hercules_Defi,0.0026453990227792877
122,BitcoinChina_,0.002631515351608143
123,w_s_bitcoin,0.002631515351608143
124,DeFiOracle_,0.002631515351608143
125,Dynamo_Patrick,0.002631515351608143
126,DeFiMinty,0.002631515351608143
127,ChainGPT_Pad,0.002631515351608143
128,okzoo_app,0.002631515351608143
129,PortaltoBitcoin,0.002617631680436712
130,Gems_1000x,0.002617631680436712
131,donotfomoew,0.002617631680436712
132,BitcoinSapiens,0.002603748009265505
133,hiRavenCrypto,0.002603748009265505
134,crypto_bearr,0.0025898643380944425
135,Blockchain_Ep,0.0025759806669233267
136,oasys_games,0.0025759806669233267
137,CryptoWizardd,0.0025759806669233267
138,KrystalDeFi,0.0025759806669233267
139,bitcoinsnack,0.0025620969957522036
140,Evaa_Crypto,0.0025620969957522036
141,Cryptofeather_,0.0025620969957522036
142,Smart_NFT_News,0.0025620969957522036
143,VeraNFTs,0.0025482133245812535
144,OpenOceanGlobal,0.0025482133245812535
145,xyro_io,0.0025482133245812535
146,Ebubechi_GMI,0.0025482133245812535
147,RenecBlockchain,0.002534329653410086
148,DeFi_Land,0.002534329653410086
149,IkoWEB3,0.002534329653410086
150,JoeSquawk,0.002520445982238959
151,RiddlerDeFi,0.002520445982238959
152,pete_rizzo_,0.00250656231106796
153,Bedrock_DeFi,0.00250656231106796
154,CTXCBlockchain,0.00250656231106796
155,SlashWeb3,0.00250656231106796
156,WeSendit,0.00250656231106796
157,Neo_Blockchain,0.0024787949687258386
158,ice_blockchain,0.0024787949687258386
159,0xSkip,0.0024787949687258386
160,SharkyFi,0.0024787949687258386
161,AirdropComet,0.0024649112975547614
162,EMCprotocol,0.0024649112975547614
163,din_lol_,0.0024649112975547614
164,CheersUP_NFT,0.0024510276263837714
165,TheDeFiGuru_,0.002437143955212509
166,THENFTSTAR,0.002437143955212509
167,SolanaMBS,0.002437143955212509
168,MarcusDuxCrypto,0.0024232602840415824
169,ViktorDefi,0.0024232602840415824
170,WOLF_WebThree,0.0024093766128703174
171,0xSunNFT,0.0024093766128703174
172,bitcoinprivate,0.0023954929416995043
173,BlockchainBoyy,0.002381609270528271
174,Artmancrypto,0.002381609270528271
175,web3globalmedia,0.0023677255993570087
176,realmuster,0.0023538419281859436
177,SolanaLegend,0.0023538419281859436
178,fractal_bitcoin,0.002339958257014823
179,Dagoraxyz,0.002339958257014823
180,gm_dot_ai,0.002339958257014823
181,TheDeFISaint,0.002326074585843796
182,DrSolanaNFT,0.002326074585843796
183,crypto_20x,0.0023121909146727585
184,ton_blockchain,0.0022983072435007698
185,ranaweay,0.0022983072435007698
186,vigolar,0.0022983072435007698
187,TheDeFinvestor,0.002284423572329113
